Date,Outdoor Temperature,Feels Like,Dew Point,Wind Speed,Wind Gust,Max Daily Gust,Wind Direction,Hourly Rain,Daily Rain,Weekly Rain,Monthly Rain,Total Rain,Relative Pressure,Outdoor Humidity,Ultra-Violet Radiation Index,Solar Radiation
2019-11-21T00:00:00-07:00,55.6,55.6,45.2,0.0,0.0,0.0,200.0,0.0,0.0,0.33,0.37,13.32,30.06,68.0,0.0,0.0
2019-11-21T00:05:00-07:00,55.8,55.8,45.4,0.0,0.0,2.2,190.0,0.0,0.0,0.33,0.37,13.32,30.05,68.0,0.0,0.0
2019-11-21T00:10:00-07:00,55.8,55.8,45.4,3.4,3.4,3.4,176.0,0.0,0.0,0.33,0.37,13.32,30.06,68.0,0.0,0.0
2019-11-21T00:15:00-07:00,55.8,55.8,45.4,0.0,0.0,3.4,207.0,0.0,0.0,0.33,0.37,13.32,30.05,68.0,0.0,0.0
2019-11-21T00:20:00-07:00,55.8,55.8,45.4,0.0,0.0,3.4,204.0,0.0,0.0,0.33,0.37,13.32,30.05,68.0,0.0,0.0
2019-11-21T00:25:00-07:00,55.8,55.8,45.4,0.0,0.0,3.4,199.0,0.0,0.0,0.33,0.37,13.32,30.05,68.0,0.0,0.0
2019-11-21T00:30:00-07:00,55.8,55.8,45.4,3.1,3.4,3.4,81.0,0.0,0.0,0.33,0.37,13.32,30.06,68.0,0.0,0.0
2019-11-21T00:35:00-07:00,55.9,55.9,45.5,2.5,3.4,4.5,318.0,0.0,0.0,0.33,0.37,13.32,30.05,68.0,0.0,0.0
2019-11-21T00:40:00-07:00,55.8,55.8,45.8,0.0,0.0,4.5,215.0,0.0,0.0,0.33,0.37,13.32,30.05,69.0,0.0,0.0
2019-11-21T00:45:00-07:00,55.6,55.6,46.0,0.2,1.1,4.5,344.0,0.0,0.0,0.33,0.37,13.32,30.05,70.0,0.0,0.0
2019-11-21T00:50:00-07:00,55.0,55.0,45.8,0.9,2.2,4.5,359.0,0.0,0.0,0.33,0.37,13.32,30.05,71.0,0.0,0.0
2019-11-21T00:55:00-07:00,54.5,54.5,46.0,0.0,0.0,4.5,204.0,0.0,0.0,0.33,0.37,13.32,30.05,73.0,0.0,0.0
2019-11-21T01:01:00-07:00,53.8,53.8,45.7,0.0,0.0,4.5,209.0,0.0,0.0,0.33,0.37,13.32,30.06,74.0,0.0,0.0
2019-11-21T01:05:00-07:00,53.4,53.4,45.3,0.0,0.0,4.5,206.0,0.0,0.0,0.33,0.37,13.32,30.05,74.0,0.0,0.0
2019-11-21T01:10:00-07:00,53.1,53.1,45.0,0.0,0.0,4.5,204.0,0.0,0.0,0.33,0.37,13.32,30.06,74.0,0.0,0.0
2019-11-21T01:15:00-07:00,53.1,53.1,45.4,0.0,0.0,4.5,199.0,0.0,0.0,0.33,0.37,13.32,30.05,75.0,0.0,0.0
2019-11-21T01:20:00-07:00,52.5,52.5,45.2,0.0,0.0,4.5,199.0,0.0,0.0,0.33,0.37,13.32,30.06,76.0,0.0,0.0
2019-11-21T01:25:00-07:00,52.5,52.5,45.2,0.0,0.0,4.5,206.0,0.0,0.0,0.33,0.37,13.32,30.06,76.0,0.0,0.0
2019-11-21T01:30:00-07:00,52.3,52.3,45.0,0.0,0.0,4.5,207.0,0.0,0.0,0.33,0.37,13.32,30.06,76.0,0.0,0.0
2019-11-21T01:35:00-07:00,52.2,52.2,45.2,0.0,0.0,4.5,208.0,0.0,0.0,0.33,0.37,13.32,30.07,77.0,0.0,0.0
2019-11-21T01:40:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,206.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T01:45:00-07:00,52.5,52.5,45.2,0.0,0.0,4.5,203.0,0.0,0.0,0.33,0.37,13.32,30.06,76.0,0.0,0.0
2019-11-21T01:50:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,199.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T01:55:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,204.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:00:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,218.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:05:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,207.0,0.0,0.0,0.33,0.37,13.32,30.05,77.0,0.0,0.0
2019-11-21T02:10:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,213.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:15:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,199.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:20:00-07:00,52.2,52.2,45.2,0.0,0.0,4.5,199.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:25:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,224.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:30:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,199.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:35:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,215.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:40:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,204.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:45:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,202.0,0.0,0.0,0.33,0.37,13.32,30.06,77.0,0.0,0.0
2019-11-21T02:50:00-07:00,52.0,52.0,45.4,0.0,0.0,4.5,208.0,0.0,0.0,0.33,0.37,13.32,30.06,78.0,0.0,0.0
2019-11-21T02:55:00-07:00,52.2,52.2,45.2,0.0,0.0,4.5,205.0,0.0,0.0,0.33,0.37,13.32,30.05,77.0,0.0,0.0
2019-11-21T03:00:00-07:00,52.3,52.3,45.3,0.0,0.0,4.5,220.0,0.0,0.0,0.33,0.37,13.32,30.05,77.0,0.0,0.0
2019-11-21T03:05:00-07:00,52.5,52.5,45.5,0.0,0.0,4.5,221.0,0.0,0.0,0.33,0.37,13.32,30.05,77.0,0.0,0.0
2019-11-21T03:10:00-07:00,52.3,52.3,45.6,0.0,0.0,4.5,197.0,0.0,0.0,0.33,0.37,13.32,30.05,78.0,0.0,0.0
2019-11-21T03:15:00-07:00,52.0,52.0,45.4,0.0,0.0,4.5,200.0,0.0,0.0,0.33,0.37,13.32,30.05,78.0,0.0,0.0
2019-11-21T03:20:00-07:00,52.2,52.2,45.5,0.0,0.0,4.5,189.0,0.0,0.0,0.33,0.37,13.32,30.06,78.0,0.0,0.0
2019-11-21T03:25:00-07:00,52.5,52.5,45.8,0.0,0.0,4.5,207.0,0.0,0.0,0.33,0.37,13.32,30.05,78.0,0.0,0.0
2019-11-21T03:30:00-07:00,52.2,52.2,45.5,0.0,0.0,4.5,197.0,0.0,0.0,0.33,0.37,13.32,30.06,78.0,0.0,0.0
2019-11-21T03:35:00-07:00,52.0,52.0,45.7,0.0,0.0,4.5,207.0,0.0,0.0,0.33,0.37,13.32,30.06,79.0,0.0,0.0
2019-11-21T03:40:00-07:00,52.2,52.2,45.9,0.0,0.0,4.5,213.0,0.0,0.0,0.33,0.37,13.32,30.06,79.0,0.0,0.0
